bg_id,green_space,hospitals,pharmacies,urgent_care_facilities,education,groceries,pop_total,pop_white,pop_black,pop_asiapacific,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,hhld_total,hhld_total_w_chld,hhld_single_mother,hhld_nocar,workers_all,workers_essential,er,urban,equity,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,scores,faren,farey,ratio
170310633032,0.1190620704,0,0,0,0,0,682,557,0,102,21,0,2,27,503,9,0,235,466,211,1,1,0,20,1,7,12,4,6,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7,8,0,2,0,9,4,0,7,0,0,19,1,3,2,4,10,14,6,0,0,0,0,0,0,0,0,0,0,40.875,795600.5,785575.5,1.012761345
170310812024,0.003332218742,0,0,0,0,0,797,620,32,107,10,0,28,48,393,64,8,124,367,151,1,1,0,222,61,108,53,36,76,110,0,0,0,0,0,11,0,0,57,0,34,8,0,1,0,0,0,65,46,0,145,57,2,16,0,2,186,36,27,45,41,48,147,75,0,0,0,0,0,0,0,0,0,0,20.708,951475.5,887323,1.072298926
550590029061,0,0,0,0,0,0,2280,1902,43,7,272,0,56,230,813,276,47,8,1181,585,0,0,0,139,44,64,31,73,41,25,0,0,0,20,4,0,19,1,0,0,0,0,0,0,0,13,4,57,21,0,131,3,1,4,0,0,128,11,10,34,36,15,60,79,0,0,0,0,0,0,0,0,0,0,0.000,1317,139,9.474820144
170978644103,0.0000002397278627,0,0,0,0,0,580,519,0,44,17,0,0,47,203,76,0,5,372,151,1,0,0,74,11,44,19,25,17,32,4,0,0,0,0,8,26,0,0,2,0,4,0,0,0,7,0,0,0,23,64,2,1,7,0,0,62,12,6,11,15,31,37,37,0,0,0,0,0,0,0,0,0,0,0.000,1186,707,1.677510608
170312420003,0.002840704705,0,0,0,0,1,1421,563,443,47,368,0,0,185,538,132,74,135,556,261,1,1,0,230,54,130,46,56,85,89,0,0,0,13,0,5,6,0,0,7,36,30,0,2,44,25,3,54,5,0,161,46,1,15,1,6,187,43,21,47,59,49,111,119,0,0,0,0,0,0,0,0,0,0,44.083,1056542,883090.5,1.196414184
170318241132,0.05925827082,0,1,0,0,2,1758,1569,72,45,72,0,0,0,623,160,36,8,874,444,1,0,0,221,98,88,35,122,74,25,0,0,0,1,0,1,34,2,0,11,1,0,0,2,8,47,0,66,48,0,186,18,0,14,0,3,197,24,16,37,35,35,79,142,0,0,0,0,0,0,0,0,0,0,0.000,1545,1545,1
170978608101,1.461128224,0,3,0,0,4,4188,3175,396,150,308,0,159,344,1329,713,217,27,1958,961,1,0,0,2105,612,987,506,510,864,731,1,0,0,99,288,282,504,9,56,17,2,12,0,59,416,44,0,249,67,0,1836,158,13,64,3,31,1789,316,186,367,501,439,1096,1009,0,0,0,0,0,0,0,0,0,0,0.833,2939,2384,1.232802013
171978803141,5.891246232,0,0,0,0,1,1699,1243,67,292,97,0,0,9,514,306,18,4,893,422,1,0,0,1078,192,613,273,148,334,596,41,0,0,387,50,53,70,62,11,0,11,77,0,134,0,5,21,0,156,0,980,56,4,28,2,8,903,175,116,255,264,251,770,308,0,0,0,0,0,0,0,0,0,0,0.000,1692,1692,1
170318428005,0,0,0,0,0,0,1759,99,84,0,1549,27,0,608,494,274,89,86,373,208,1,1,1,49,13,32,4,3,5,41,0,0,0,0,0,0,4,0,0,0,0,0,0,0,45,0,0,0,0,0,38,6,0,5,0,0,35,14,6,9,12,9,14,35,0,0,0,0,0,0,0,0,0,0,15.042,167811.5,157112.5,1.068097701
170318130001,0.00687448245,0,0,0,0,2,790,362,397,0,31,0,0,32,245,84,36,12,367,173,1,1,1,531,85,340,106,75,56,400,0,0,0,1,0,0,0,0,0,29,4,3,0,0,8,5,0,70,2,409,382,131,2,14,0,2,468,63,31,89,143,183,349,182,0,0,0,0,0,0,0,0,0,0,29.458,179180.5,175988.5,1.018137549
